keyword,stdAccName,stdAccType
accommodation bond held,rental & accommodation bonds,non-current liability
accommodation deposit,deposit liability (current),current liability
accommodation bonds,accounts payable,current liability
accommodation bonds held,rental & accommodation bonds,non-current liability
accounts receivable assets,accounts receivable,current asset
accrual,accruals,current liability
accrued charge,accruals,current liability
accrued income,accrued income,current asset
accrued,accrued income,current asset
accrued expenses,accrued expenses,current liability
accrued wages,accrued wages,current liability
accumulated depreciation car,accumulated depreciation,non-current asset
accumulated depreciation equipment,accumulated depreciation,non-current asset
accumulated depreciation motor vehicle,accumulated depreciation,non-current asset
accumulated depreciation plant,accumulated depreciation,non-current asset
accumulated depreciation plant equipment,accumulated depreciation,non-current asset
accumulated depreciation vehicle,accumulated depreciation,non-current asset
accumulated fund beginning year,retained earnings at beginning of year,equity
accumulated funds,retained earnings at end of year,equity
accumulated loss,retained earnings at end of year,equity
accumulated loss beginning year,retained earnings at beginning of year,equity
accumulated loss end year,retained earnings at end of year,equity
accumulated surplus,retained earnings at end of year,equity
accumulated amortisation,accumulated depreciation,non-current asset
accumulated depreciation,accumulated depreciation,non-current asset
accumulated surplus deficit,current year profits,equity
accumulated surplus deficit,retained earnings at end of year,equity
accumulation account,current year profits,equity
adjustment transition,adjustment on transition,equity
administration,buildings,non-current asset
advance,loans payable,current liability
advances,loans payable,current liability
american express,credit cards,current liability
amex,credit cards,current liability
amortisation,less Amortisation,current asset
annual leave,provision for leave,current liability
anz,cash & cash equivalents,current asset
asset revaluation reserve,reserves,equity
balance beginning financial year,retained earnings at beginning of year,equity
balance end  financial year,retained earnings at end of year,equity
balance start financial year,retained earnings at beginning of year,equity
bank account,cash & cash equivalents,current asset
bank account,loans payable,current liability
bank loans,loans payable,current liability
bendigo bank social investmen,cash & cash equivalents,current asset
bendigo main,cash & cash equivalents,current asset
bendigo transaction acc,cash & cash equivalents,current asset
beneficiar entitlement,beneficiaries entitlements,equity
beneficiaries entitlement,beneficiaries entitlements,equity
billdozer,vehicles,non-current asset
bobcat,vehicles,non-current asset
borrowings,loans payable,current liability
building,buildings,non-current asset
building at cost,buildings,non-current asset
building historical cost,buildings,non-current asset
bus,vehicles,non-current asset
car,vehicles,non-current asset
card,credit cards,current liability
cash,cash & cash equivalents,current asset
cash bank,cash & cash equivalents,current asset
cash equivalents,cash & cash equivalents,current asset
cash on hand,cash & cash equivalents,current asset
cash management account,overdrawn deposit accounts,current liability
cba,cash & cash equivalents,current asset
cheque account,cash & cash equivalents,current asset
class shares,issued capital,equity
comm fuel,cash & cash equivalents,current asset
comm main,cash & cash equivalents,current asset
comm term dep,cash & cash equivalents,current asset
computer equipment,"computer systems, software & equipment",non-current asset
computer system,"computer systems, software & equipment",non-current asset
computer system equipment,"computer systems, software & equipment",non-current asset
computer related items,"computer systems, software & equipment",non-current asset
contract liabilit,contract liability (current),current liability
cottages,buildings,non-current asset
credit card,credit cards,current liability
current year earning,current year profits,equity
current year profit,current year profits,equity
current liabilities provision annual leave,provision for leave,current liability
debtors,accounts receivable,current asset
deferred income,deferred income,current liability
deferred revenue,deferred revenue,current liability
deficit surplus year,current year profits,equity
depn,accumulated depreciation,non-current asset
deposit,deposit liability (current),current liability
deposits,cash & cash equivalents,current asset
depreciation,accumulated depreciation,non-current asset
depreciation building,accumulated depreciation,non-current asset
depreciation fitting,accumulated depreciation,non-current asset
depreciation furniture,accumulated depreciation,non-current asset
depreciation furniture fitting,accumulated depreciation,non-current asset
depreciation office equipment,accumulated depreciation,non-current asset
depreciation office furniture,accumulated depreciation,non-current asset
depreciation property improvements,accumulated depreciation,non-current asset
designated funds quinlivan ga research/scholarship,members funds,equity
designated funds quinlivan ga research/scholarship fund,members funds,equity
diners,credit cards,current liability
div 7a loan,loans receivable (related),current asset
doubtful debt,doubtful debts,current asset
dozer,vehicles,non-current asset
employee entitlement,employee expenses payable (current),current liability
employee benefit,employee expenses payable (current),current liability
employee entitlements,employee expenses payable (current),current liability
equipment,plant & equipment,non-current asset
equities,shares,non-current asset
equity,shares,non-current asset
expense claim,employee expenses payable (current),current liability
financial asset,investments (current),current asset
financial liabilities,loans payable,current liability
finished good,stock on hand,current asset
finished goods,stock on hand,current asset
fitting,furniture & fittings,non-current asset
ford,vehicles,non-current asset
formation expense,formation & startup,non-current asset
fund account,cash & cash equivalents,current asset
furniture,furniture & fittings,non-current asset
furniture fitting,furniture & fittings,non-current asset
future finance charge non current,future finance charges (non-current),non-current liability
future finance charge non-current,future finance charges (non-current),non-current liability
future finance charges current,future finance charges,current liability
general funds,members funds,equity
goods services tax,gst payable,current liability
goods services tax,gst receivable,current asset
goodwill,goodwill,non-current asset
gst,gst payable,current liability
gst,gst receivable,current asset
hire purchase liability,hire purchase,current liability
hire purchase liability current,hire purchase,current liability
hire purchase liability non-current,hire purchase (non-current),non-current liability
holden,vehicles,non-current asset
