keyword,stdAccName,stdAccType
accommodation,accommodation expenses,expense
accountancy fee,accounting & audit,expense
accounting fee,accounting & audit,expense
audit fee,accounting & audit,expense
accounting,accounting & audit,expense
audit,accounting & audit,expense
accounting paid,accounting & audit,expense
financial management,accounting & audit,expense
bookkeep,accounting & audit,expense
accountant,accounting & audit,expense
accountancy,accounting & audit,expense
accountancy fee,accounting & audit fees received,income
accounting fee,accounting & audit fees received,income
audit fee,accounting & audit fees received,income
accounting,accounting & audit fees received,income
audit,accounting & audit fees received,income
accounting received,accounting & audit fees received,income
financial management,accounting & audit fees received,income
bookkeep,accounting & audit fees received,income
accountant,accounting & audit fees received,income
secretarial services,administration costs,expense
agency staffing costs,administration costs,expense
administrative expenses,administration costs,expense
administration expenses,administration costs,expense
administration,administration costs,expense
administrative,administration costs,expense
administration costs,administration costs,expense
administration expense,administration costs,expense
advertising,advertising & promotion,expense
advertisement,advertising & promotion,expense
advertisements,advertising & promotion,expense
promotion,advertising & promotion,expense
promotional,advertising & promotion,expense
sponsorship,advertising & promotion,expense
sponsorships,advertising & promotion,expense
marketing,advertising & promotion,expense
sponsor,advertising & promotion,expense
sponsors,advertising & promotion,expense
publicity,advertising & promotion,expense
advert,advertising & promotion,expense
advocacy,advertising & promotion,expense
information service,advertising & promotion,expense
support service,advertising & promotion,expense
bel canto award expenses,advertising & promotion,expense
djs irthday concert 2015/2016/2017,advertising & promotion,expense
elizabeth connell prize expenses,advertising & promotion,expense
lieder concert expenses,advertising & promotion,expense
masterclasses,advertising & promotion,expense
sydney song prize,advertising & promotion,expense
kingdom builders events,advertising & promotion,expense
exhibitions,advertising & promotion,expense
agent,agents fees & commissions,expense
broker fee,agents fees & commissions,expense
services contract expenses,agents fees & commissions,expense
agency fees,agents fees & commissions,expense
amortisation,amortisation and depreciation,expense
depreciation,amortisation and depreciation,expense
amort,amortisation and depreciation,expense
depn,amortisation and depreciation,expense
amortis,amortisation and depreciation,expense
bad,bad debts written off,expense
doubtful,bad debts written off,expense
write-off,bad debts written off,expense
write off,bad debts written off,expense
bad debt,bad debts written off,expense
bad debts,bad debts written off,expense
bank charge,bank charges,expense
bank charges,bank charges,expense
bank fee,bank charges,expense
bank fees,bank charges,expense
merchant charge,bank charges,expense
merchant charges,bank charges,expense
merchant fees,bank charges,expense
bank cost,bank charges,expense
bank costs,bank charges,expense
board expense,board expenses,expense
strata fee,body corporate & strata expenses,expense
body corporate fee,body corporate & strata expenses,expense
strata lev,body corporate & strata expenses,expense
body corporate lev,body corporate & strata expenses,expense
strata charge,body corporate & strata expenses,expense
body corporate charge,body corporate & strata expenses,expense
occupancy,body corporate & strata expenses,expense
borrowing cost,borrowing costs,expense
finance cost,borrowing costs,expense
finance expenses,borrowing costs,expense
gain,capital gain on sale of current assets,income
capital gain,capital gain on sale of current assets,income
capital loss,capital gain on sale of current assets,income
realised gain,capital gain on sale of current assets,income
loss,capital gain on sale of current assets,income
losses,capital gain on sale of current assets,income
profit on sale,capital gain on sale of current assets,income
loss on sale,capital gain on sale of current assets,income
gain,capital gain on sale of non-current assets,income
capital gain,capital gain on sale of non-current assets,income
capital loss,capital gain on sale of non-current assets,income
realised gain,capital gain on sale of non-current assets,income
loss,capital gain on sale of non-current assets,income
losses,capital gain on sale of non-current assets,income
profit on sale,capital gain on sale of non-current assets,income
loss on sale,capital gain on sale of non-current assets,income
gain,capital loss on sale of current assets,expense
capital gain,capital loss on sale of current assets,expense
capital loss,capital loss on sale of current assets,expense
realised gain,capital loss on sale of current assets,expense
loss,capital loss on sale of current assets,expense
losses,capital loss on sale of current assets,expense
profit on sale,capital loss on sale of current assets,expense
loss on sale,capital loss on sale of current assets,expense
gain,capital loss on sale of non-current assets,expense
capital gain,capital loss on sale of non-current assets,expense
capital loss,capital loss on sale of non-current assets,expense
realised gain,capital loss on sale of non-current assets,expense
loss,capital loss on sale of non-current assets,expense
losses,capital loss on sale of non-current assets,expense
profit on sale,capital loss on sale of non-current assets,expense
loss on sale,capital loss on sale of non-current assets,expense
inventories finished goods,change in inventory,expense
cleaning,cleaning & waste disposal,expense
cleaner,cleaning & waste disposal,expense
cleaners,cleaning & waste disposal,expense
rubbish,cleaning & waste disposal,expense
waste,cleaning & waste disposal,expense
secure document disposal,cleaning & waste disposal,expense
rubbish removal,cleaning & waste disposal,expense
closing finished good,closing finished goods,expense
closing raw materials,closing raw materials,expense
closing stock,closing stock,expense
closing work in progress,closing work in progress,expense
commission,commission paid,expense
contract income,commissions received,income
fee income,commissions received,income
childcare benefit,commissions received,income
fee collected,commissions received,income
fee income other,commissions received,income
exit fee,commissions received,income
management fee,commissions received,income
commission received,commissions received,income
bookshop commission,commissions received,income
community service,community services,expense
group community activities,community services,expense
accreditation expense,compliance expenses,expense
compliance expense,compliance expenses,expense
compliance costs,compliance expenses,expense
software,computers,expense
website,computers,expense
computer,computers,expense
computer supplies,computers,expense
computer equipment,computers,expense
computer software,computers,expense
web expenses,computers,expense
consultant,consultancy fees,expense
consultancy,consultancy fees,expense
consulting,consultancy fees,expense
consultancy fee,consultancy fees,expense
consultancy fee paid,consultancy fees,expense
consultancy fee income,consultancy fees,expense
land survey,consultancy fees,expense
sub-contracting,consultancy fees,expense
consultant,consultancy fees received,income
consultancy,consultancy fees received,income
consulting,consultancy fees received,income
consultancy fee,consultancy fees received,income
consultancy fee received,consultancy fees received,income
consultancy fee income,consultancy fees received,income
animal requisites,consumables,expense
photographs,consumables,expense
equipment supplies,consumables,expense
centre equipment,consumables,expense
consumables,consumables,expense
office cost,consumables,expense
supplies,consumables,expense
materials supplies,consumables,expense
materials stores,consumables,expense
purc/replacemt minor equip,consumables,expense
chemicals,consumables,expense
craft expenses,consumables,expense
materials supplles,consumables,expense
cost sales,cost of sales,expense
development,development & planning,expense
planning,development & planning,expense
plans,development & planning,expense
plan,development & planning,expense
aids manufacturing,direct cost,expense
discount allowed,discounts allowed,expense
discount received,discounts received,income
discount,discounts received,income
distributions,distributions received,income
div,distributions received,income
dividend,dividends received,income
donation,donations paid,expense
offering,donations paid,expense
offerings,donations paid,expense
tithe,donations paid,expense
tithe,donations paid,expense
tithing,donations paid,expense
parents contribution,donations paid,expense
corporate sponsor,donations paid,expense
legac,donations paid,expense
gift,donations paid,expense
sponsorship income,donations paid,expense
missions,donations paid,expense
donation paid,donations paid,expense
bequest,donations paid,expense
donation to,donations paid,expense
gratuities,donations paid,expense
welfare charitable expenses,donations paid,expense
donation,donations received,income
offering,donations received,income
offerings,donations received,income
tithe,donations received,income
tithe,donations received,income
tithing,donations received,income
parents contribution,donations received,income
corporate sponsor,donations received,income
legac,donations received,income
gift,donations received,income
sponsorship income,donations received,income
missions,donations received,income
donation received,donations received,income
bequest,donations received,income
donation from,donations received,income
sponsorship,donations received,income
gas,electricity & gas,expense
electricity,electricity & gas,expense
light,electricity & gas,expense
lights,electricity & gas,expense
lighting,electricity & gas,expense
power,electricity & gas,expense
safety,employee amenities,expense
first aid supplies,employee amenities,expense
hygiene,employee amenities,expense
